t,theta_true,omega_true,theta_hat,omega_hat,theta_meas,omega_meas,forcing_d,u,error,pid_integral,pid_derivative,K00,K01,K10,K11,P00,P01,P10,P11,Q00,Q01,Q10,Q11,R00,R01,R10,R11
19.78,10.567102544657175,0.8982465541333208,10.305653195933614,-0.2772136229424364,10.560727318502913,0.9854549399802904,0.03648034854809112,-10.548521679942446,-0.30565319593361373,-6.874298427115657,-0.5331826093329717,0.06127716807822552,0.0,0.0,0.06127716807822552,0.0030638584039112764,0.0,0.0,0.0030638584039112764,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
19.8,10.58506747573984,0.8554586658090669,10.317426614987884,-0.26609660041824035,10.582721388381938,0.9455831215372084,0.03790614252269485,-10.997195605117739,-0.31742661498788394,-6.880646959415415,-0.5886709527135103,0.06127716807822552,0.0,0.0,0.06127716807822552,0.0030638584039112764,0.0,0.0,0.0030638584039112764,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
19.82,10.602176649056021,0.809518200355112,10.328611024849568,-0.27280607297199444,10.581476496131472,0.7158333205590823,0.03863718756937531,-11.232255014721275,-0.32861102484956817,-6.887219179912407,-0.5592204930842115,0.06127716807822552,0.0,0.0,0.06127716807822552,0.0030638584039112764,0.0,0.0,0.0030638584039112764,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
19.84,10.618367013063123,0.7638368586136578,10.34180826037529,-0.28086691428556326,10.627564483176004,0.6841262884943201,0.040164386960628955,-11.291770414576511,-0.34180826037528966,-6.894055345119913,-0.6598617762860748,0.06127716807822552,0.0,0.0,0.06127716807822552,0.0030638584039112764,0.0,0.0,0.0030638584039112764,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
19.86,10.633643750235397,0.7126943002908194,10.360679736040458,-0.29403642552610043,10.735831028166567,0.6722793777843764,0.04224831537797248,-11.63186150144496,-0.3606797360404581,-6.901268939840722,-0.9435737832584223,0.06127716807822552,0.0,0.0,0.06127716807822552,0.0030638584039112764,0.0,0.0,0.0030638584039112764,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
19.88,10.647897636241213,0.6475383773757731,10.376397061110998,-0.32528270967012357,10.70726395097332,0.5634563840483184,0.044918400712186564,-12.395213866762148,-0.3763970611109979,-6.908796881062941,-0.78586625352699,0.06127716807822552,0.0,0.0,0.06127716807822552,0.0030638584039112764,0.0,0.0,0.0030638584039112764,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
19.900000000000002,10.660848403788728,0.5865597191092962,10.38453063226172,-0.3519017461613482,10.60879320024845,0.5327279089097687,0.04699722085260081,-12.2444999992269,-0.38453063226172013,-6.916487493708176,-0.40667855753611093,0.06127716807822552,0.0,0.0,0.06127716807822552,0.0030638584039112764,0.0,0.0,0.0030638584039112764,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
19.92,10.672579598170914,0.5400293383323371,10.393317987783476,-0.3643437212204635,10.635751765333666,0.5173446394833293,0.05053738418161688,-11.575150931397598,-0.39331798778347604,-6.924353853463845,-0.43936777608779565,0.06127716807822552,0.0,0.0,0.06127716807822552,0.0030638584039112764,0.0,0.0,0.0030638584039112764,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
19.94,10.683380184937562,0.49122024999916025,10.404939877114582,-0.38619242524383224,10.69460875081413,0.38525977199234196,0.055201837151188204,-11.736269283474197,-0.40493987711458246,-6.932452651006137,-0.5810944665553208,0.06127716807822552,0.0,0.0,0.06127716807822552,0.0030638584039112764,0.0,0.0,0.0030638584039112764,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
19.96,10.693204589937546,0.43514725013906,10.41382466320192,-0.40487333638852263,10.66825718656616,0.5196516961724096,0.06107697955659817,-12.144040355262604,-0.41382466320192,-6.940729144270175,-0.444239304366878,0.06127716807822552,0.0,0.0,0.06127716807822552,0.0030638584039112764,0.0,0.0,0.0030638584039112764,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
19.98,10.701907534940327,0.383424508479695,10.420469323183003,-0.42551730461219966,10.64630826722524,0.39940073641068796,0.0664044642685339,-11.967454385023132,-0.4204693231830028,-6.949138530733834,-0.3322329990541384,0.06127716807822552,0.0,0.0,0.06127716807822552,0.0030638584039112764,0.0,0.0,0.0030638584039112764,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
