Time,StepCount,look_ahead_distance_meter,prev_wp_x,prev_wp_y,next_wp_x,next_wp_y,os_x,os_y,final_heading_rad,chi_desired_rad,chi_desired_deg,last_wp_active
203,203,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-27.746484,-91.396656,0.000000,1.168236,66.935006,0
204,204,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-27.633833,-91.162282,0.000000,1.168587,66.955106,0
205,205,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-27.522121,-90.928557,0.000000,1.168925,66.974485,0
206,206,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-27.411272,-90.695434,0.000000,1.169252,66.993202,0
207,207,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-27.301215,-90.462865,0.000000,1.169568,67.011313,0
208,208,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-27.191881,-90.230807,0.000000,1.169874,67.028871,0
209,209,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-27.083209,-89.999217,0.000000,1.170172,67.045926,0
210,210,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-26.975138,-89.768055,0.000000,1.170462,67.062524,0
211,211,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-26.867611,-89.537284,0.000000,1.170744,67.078710,0
212,212,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-26.760576,-89.306867,0.000000,1.171020,67.094523,0
213,213,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-26.653984,-89.076771,0.000000,1.171290,67.110001,0
214,214,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-26.547789,-88.846963,0.000000,1.171555,67.125181,0
215,215,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-26.441948,-88.617414,0.000000,1.171816,67.140094,0
216,216,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-26.336421,-88.388096,0.000000,1.172072,67.154771,0
